Shipment_ID,Shipment_Date,Year,Month,Cargo_Season,Commodity_Type,Commodity_Risk_Level,Shipper_Company_Name,Shipper_Compliance_Score,Consignee_Company_Name,Consignee_Compliance_Score,Shipment_Value_USD,Weight_KG,Previous_Violations,Missing_Documents,Inspection_Required
SHP00015,2024-03-05,2024,3,Ramadan,Medical Equipment,High,MedTech Equipment Ltd,42,Jeddah Healthcare Supplies,77,394422,21568,3,No,1
SHP00016,2022-04-06,2022,4,Eid,Textiles,Low,ABC Textile Mills,94,Jeddah Textile Imports,93,412357,14870,1,No,0
SHP00017,2025-06-20,2025,6,Hajj,Machinery,Medium,Industrial Machinery Ltd,37,Jeddah Machinery Traders,49,416515,10867,10,No,1
SHP00018,2025-09-25,2025,9,Regular,Agricultural Products,Low,Harvest Exporters,84,Saudi Agriculture Imports,85,76766,15757,1,No,0
SHP00019,2023-09-20,2023,9,Regular,Medical Equipment,High,Healthcare Equipment Exporters,49,Saudi Medical Equipment,51,403690,7576,7,No,1
SHP00020,2023-11-15,2023,11,Year_End_Peak,Consumer Goods,Low,Consumer Products Ltd,74,Jeddah Consumer Imports,60,166838,8044,2,No,0
SHP00021,2023-07-18,2023,7,Hajj,Food Products,Low,Fresh Foods Exporters,99,Riyadh Food Distribution,88,242025,23988,0,No,0
SHP00022,2024-05-04,2024,5,Regular,Automotive Parts,Medium,Auto Components Ltd,80,Jeddah Vehicle Parts,89,432839,7442,1,No,0
SHP00023,2022-09-04,2022,9,Regular,Textiles,Low,Global Garments Exporters,94,Riyadh Garment Trading,87,184734,252,0,No,0
SHP00024,2022-07-17,2022,7,Hajj,Machinery,Medium,Global Machinery Solutions,31,Saudi Industrial Imports,72,35698,11824,1,Yes,0
SHP00025,2024-08-12,2024,8,Regular,Textiles,Low,Global Garments Exporters,94,Saudi Fashion Retail,84,466298,25995,0,No,0
SHP00026,2023-07-05,2023,7,Hajj,Pharmaceuticals,High,Pfizer Manufacturing,67,Jeddah Pharma Distribution,53,274255,4786,4,No,1
SHP00027,2022-09-20,2022,9,Regular,Agricultural Products,Low,Harvest Exporters,84,Jeddah Agri Traders,95,484951,9258,0,No,0
SHP00028,2025-03-29,2025,3,Ramadan,Food Products,Low,Premium Foods Ltd,94,Saudi Food Imports,82,175088,7450,0,No,0
SHP00029,2023-09-20,2023,9,Regular,Electronics,Medium,Global Electronics Trading,82,Jeddah Tech Distribution,77,33711,5589,3,No,0
SHP00030,2024-04-01,2024,4,Eid,Chemicals,High,Industrial Chemicals Ltd,40,Jeddah Industrial Chemicals,74,455351,17390,3,No,0
SHP00031,2025-11-16,2025,11,Year_End_Peak,Food Products,Low,Global Food Traders,84,Riyadh Food Distribution,88,493738,20930,2,No,0
SHP00032,2025-10-30,2025,10,Regular,Machinery,Medium,Heavy Equipment Exporters,70,Jeddah Machinery Traders,49,401109,18127,14,No,0
SHP00033,2024-03-08,2024,3,Ramadan,Electronics,Medium,Global Electronics Trading,82,Riyadh Digital Traders,83,434006,9201,2,No,0
SHP00034,2022-01-17,2022,1,Regular,Automotive Parts,Medium,Premium Auto Exports,81,Riyadh Auto Traders,77,306669,14484,2,No,0
SHP00035,2022-06-30,2022,6,Hajj,Chemicals,High,BASF Chemicals,50,Saudi Chemical Imports,54,460451,21522,6,No,1
SHP00036,2023-07-20,2023,7,Hajj,Agricultural Products,Low,Agri Trade International,93,Saudi Agriculture Imports,85,366890,1945,0,No,0
SHP00037,2023-05-05,2023,5,Regular,Pharmaceuticals,High,Sun Pharma Logistics,42,Jeddah Pharma Distribution,53,177089,834,4,No,1
SHP00038,2024-01-29,2024,1,Regular,Agricultural Products,Low,Agri Trade International,93,Riyadh Farm Supplies,81,236362,18275,2,Yes,0
SHP00039,2022-02-05,2022,2,Regular,Textiles,Low,Global Garments Exporters,94,Riyadh Garment Trading,87,265512,12089,1,No,0
SHP00040,2025-10-09,2025,10,Regular,Pharmaceuticals,High,Pfizer Manufacturing,67,Saudi Medical Supplies,77,143038,26608,1,No,0
SHP00041,2023-07-24,2023,7,Hajj,Machinery,Medium,Industrial Machinery Ltd,37,Riyadh Equipment Group,72,32024,9957,3,No,0
SHP00042,2024-12-12,2024,12,Year_End_Peak,Automotive Parts,Medium,Auto Components Ltd,80,Riyadh Auto Traders,77,481358,21749,2,No,0
SHP00043,2023-10-18,2023,10,Regular,Pharmaceuticals,High,Pfizer Manufacturing,67,Jeddah Pharma Distribution,53,280163,13467,8,No,1
SHP00044,2025-10-01,2025,10,Regular,Automotive Parts,Medium,Global Auto Parts,78,Jeddah Vehicle Parts,89,33217,8358,2,Yes,0
SHP00045,2024-03-12,2024,3,Ramadan,Machinery,Medium,Global Machinery Solutions,31,Saudi Industrial Imports,72,21056,12825,4,No,0
SHP00046,2024-02-29,2024,2,Regular,Food Products,Low,Fresh Foods Exporters,99,Saudi Food Imports,82,467882,19581,0,Yes,0
SHP00047,2024-12-28,2024,12,Year_End_Peak,Electronics,Medium,Tech Devices Ltd,66,Riyadh Digital Traders,83,52293,13295,0,No,0
SHP00048,2023-07-05,2023,7,Hajj,Textiles,Low,ABC Textile Mills,94,Jeddah Textile Imports,93,456968,23855,0,No,0
SHP00049,2025-04-18,2025,4,Eid,Agricultural Products,Low,Green Farm Exports,83,Riyadh Farm Supplies,81,24289,11972,0,No,0
SHP00050,2022-12-02,2022,12,Year_End_Peak,Food Products,Low,Premium Foods Ltd,94,Jeddah Grocery Group,83,163049,29218,1,No,0
SHP00051,2023-11-21,2023,11,Year_End_Peak,Chemicals,High,BASF Chemicals,50,Jeddah Industrial Chemicals,74,429411,26194,2,No,0
SHP00052,2025-12-11,2025,12,Year_End_Peak,Consumer Goods,Low,Consumer Products Ltd,74,Saudi Retail Group,68,332593,17500,5,No,0
SHP00053,2025-06-30,2025,6,Hajj,Chemicals,High,Industrial Chemicals Ltd,40,Jeddah Industrial Chemicals,74,386777,2132,1,No,0
SHP00054,2022-04-25,2022,4,Eid,Medical Equipment,High,Healthcare Equipment Exporters,49,Jeddah Healthcare Supplies,77,283502,3317,2,No,0
SHP00055,2023-11-07,2023,11,Year_End_Peak,Agricultural Products,Low,Agri Trade International,93,Jeddah Agri Traders,95,39756,18938,0,No,0
SHP00056,2024-10-05,2024,10,Regular,Food Products,Low,Premium Foods Ltd,94,Riyadh Food Distribution,88,429127,26313,2,No,0
SHP00057,2024-05-16,2024,5,Regular,Medical Equipment,High,MedTech Equipment Ltd,42,Saudi Medical Equipment,51,187141,13634,7,No,1
SHP00058,2025-06-10,2025,6,Hajj,Chemicals,High,Industrial Chemicals Ltd,40,Riyadh Chemical Distribution,67,431155,4410,6,No,1
SHP00059,2025-01-27,2025,1,Regular,Medical Equipment,High,Global Medical Devices,51,Jeddah Healthcare Supplies,77,491419,11180,2,No,0
SHP00060,2022-04-19,2022,4,Eid,Automotive Parts,Medium,Premium Auto Exports,81,Saudi Auto Imports,72,153617,21739,4,No,0
SHP00061,2024-01-21,2024,1,Regular,Medical Equipment,High,Healthcare Equipment Exporters,49,Jeddah Healthcare Supplies,77,155697,17387,3,No,1
SHP00062,2025-11-17,2025,11,Year_End_Peak,Pharmaceuticals,High,Sun Pharma Logistics,42,Riyadh Healthcare Imports,42,220930,19115,6,No,1
SHP00063,2025-10-20,2025,10,Regular,Electronics,Medium,Global Electronics Trading,82,Jeddah Tech Distribution,77,477501,8741,2,No,0
SHP00064,2025-12-09,2025,12,Year_End_Peak,Chemicals,High,Global Chemical Exports,58,Saudi Chemical Imports,54,204196,19357,7,No,1
SHP00065,2023-10-15,2023,10,Regular,Pharmaceuticals,High,Cipla Pharma Exports,65,Jeddah Pharma Distribution,53,141507,3759,6,No,1
SHP00066,2022-12-14,2022,12,Year_End_Peak,Medical Equipment,High,Healthcare Equipment Exporters,49,Riyadh Medical Distribution,57,493734,1581,8,No,1
SHP00067,2022-02-27,2022,2,Regular,Automotive Parts,Medium,Premium Auto Exports,81,Saudi Auto Imports,72,283703,27559,2,No,0
SHP00068,2025-06-10,2025,6,Hajj,Electronics,Medium,Samsung Electronics Export,71,Jeddah Tech Distribution,77,301557,29888,3,No,0
SHP00069,2024-11-01,2024,11,Year_End_Peak,Agricultural Products,Low,Agri Trade International,93,Jeddah Agri Traders,95,405191,11073,0,No,0
SHP00070,2025-10-03,2025,10,Regular,Textiles,Low,Cotton Weave Industries,80,Riyadh Garment Trading,87,324673,3769,2,No,0
SHP00071,2023-05-17,2023,5,Regular,Electronics,Medium,Samsung Electronics Export,71,Jeddah Tech Distribution,77,432304,13266,3,Yes,0
SHP00072,2024-06-01,2024,6,Hajj,Automotive Parts,Medium,Auto Components Ltd,80,Jeddah Vehicle Parts,89,51990,10186,0,No,0
SHP00073,2024-10-12,2024,10,Regular,Electronics,Medium,Tech Devices Ltd,66,Riyadh Digital Traders,83,62813,27762,1,No,0
SHP00074,2024-04-06,2024,4,Eid,Electronics,Medium,Samsung Electronics Export,71,Jeddah Tech Distribution,77,309684,20434,3,Yes,0
SHP00075,2023-12-10,2023,12,Year_End_Peak,Automotive Parts,Medium,Premium Auto Exports,81,Saudi Auto Imports,72,236365,15156,1,No,0
SHP00076,2025-03-14,2025,3,Ramadan,Automotive Parts,Medium,Premium Auto Exports,81,Jeddah Vehicle Parts,89,450613,23034,0,No,0
SHP00077,2023-05-03,2023,5,Regular,Pharmaceuticals,High,Sun Pharma Logistics,42,Saudi Medical Supplies,77,37187,14480,3,No,0
SHP00078,2025-08-22,2025,8,Regular,Electronics,Medium,Tech Devices Ltd,66,Saudi Electronics Imports,80,116765,8477,2,No,0
SHP00079,2025-06-06,2025,6,Hajj,Automotive Parts,Medium,Auto Components Ltd,80,Saudi Auto Imports,72,340853,4723,2,No,0
SHP00080,2024-03-08,2024,3,Ramadan,Chemicals,High,Global Chemical Exports,58,Riyadh Chemical Distribution,67,456102,10259,3,No,0
SHP00081,2025-02-03,2025,2,Regular,Chemicals,High,Industrial Chemicals Ltd,40,Saudi Chemical Imports,54,44088,18614,6,No,1
SHP00082,2024-09-10,2024,9,Regular,Automotive Parts,Medium,Global Auto Parts,78,Saudi Auto Imports,72,224777,7991,4,Yes,0
SHP00083,2025-04-21,2025,4,Eid,Machinery,Medium,Heavy Equipment Exporters,70,Riyadh Equipment Group,72,154487,24121,1,No,0
SHP00084,2022-04-03,2022,4,Eid,Pharmaceuticals,High,Sun Pharma Logistics,42,Riyadh Healthcare Imports,42,29732,23211,6,No,1
SHP00085,2025-11-29,2025,11,Year_End_Peak,Machinery,Medium,Heavy Equipment Exporters,70,Saudi Industrial Imports,72,131560,6426,4,No,0
SHP00086,2025-01-01,2025,1,Regular,Agricultural Products,Low,Green Farm Exports,83,Riyadh Farm Supplies,81,404704,22624,0,No,0
SHP00087,2022-12-03,2022,12,Year_End_Peak,Agricultural Products,Low,Agri Trade International,93,Riyadh Farm Supplies,81,65291,13618,0,No,0
SHP00088,2023-12-27,2023,12,Year_End_Peak,Agricultural Products,Low,Green Farm Exports,83,Jeddah Agri Traders,95,291843,8200,0,Yes,0
SHP00089,2025-08-28,2025,8,Regular,Chemicals,High,Industrial Chemicals Ltd,40,Jeddah Industrial Chemicals,74,399342,5172,3,No,0
SHP00090,2023-04-30,2023,4,Eid,Agricultural Products,Low,Harvest Exporters,84,Saudi Agriculture Imports,85,2062,18410,0,No,0
SHP00091,2025-11-18,2025,11,Year_End_Peak,Chemicals,High,BASF Chemicals,50,Riyadh Chemical Distribution,67,83152,26782,6,No,1
SHP00092,2024-01-18,2024,1,Regular,Chemicals,High,BASF Chemicals,50,Jeddah Industrial Chemicals,74,475665,2522,3,No,0
SHP00093,2022-11-11,2022,11,Year_End_Peak,Machinery,Medium,Heavy Equipment Exporters,70,Jeddah Machinery Traders,49,266956,28074,13,No,1
SHP00094,2023-09-16,2023,9,Regular,Textiles,Low,Global Garments Exporters,94,Riyadh Garment Trading,87,471365,23420,2,No,0
SHP00095,2024-11-29,2024,11,Year_End_Peak,Automotive Parts,Medium,Global Auto Parts,78,Riyadh Auto Traders,77,339467,9161,3,No,0
SHP00096,2023-10-08,2023,10,Regular,Machinery,Medium,Global Machinery Solutions,31,Riyadh Equipment Group,72,388952,13967,1,No,0
SHP00097,2024-11-15,2024,11,Year_End_Peak,Chemicals,High,BASF Chemicals,50,Jeddah Industrial Chemicals,74,351380,6519,4,No,1
SHP00098,2022-04-23,2022,4,Eid,Electronics,Medium,Tech Devices Ltd,66,Jeddah Tech Distribution,77,105537,12991,4,No,0
SHP00099,2022-09-16,2022,9,Regular,Electronics,Medium,Global Electronics Trading,82,Riyadh Digital Traders,83,386925,13027,2,No,0
SHP00100,2022-11-17,2022,11,Year_End_Peak,Automotive Parts,Medium,Auto Components Ltd,80,Saudi Auto Imports,72,109872,19266,2,No,0
SHP00101,2025-01-23,2025,1,Regular,Electronics,Medium,Samsung Electronics Export,71,Riyadh Digital Traders,83,84524,12269,1,No,0
SHP00102,2023-05-28,2023,5,Regular,Consumer Goods,Low,Global Retail Exporters,76,Saudi Retail Group,68,168231,11207,2,No,0
SHP00103,2023-12-26,2023,12,Year_End_Peak,Automotive Parts,Medium,Auto Components Ltd,80,Jeddah Vehicle Parts,89,413498,23980,1,No,0
SHP00104,2022-03-30,2022,3,Ramadan,Pharmaceuticals,High,Cipla Pharma Exports,65,Jeddah Pharma Distribution,53,306447,26489,5,No,1
SHP00105,2023-07-29,2023,7,Hajj,Electronics,Medium,Tech Devices Ltd,66,Jeddah Tech Distribution,77,151168,2242,4,No,0
SHP00106,2022-07-17,2022,7,Hajj,Machinery,Medium,Heavy Equipment Exporters,70,Saudi Industrial Imports,72,224810,17636,2,No,0
SHP00107,2023-04-23,2023,4,Eid,Food Products,Low,Premium Foods Ltd,94,Saudi Food Imports,82,132994,469,1,No,0
SHP00108,2025-07-01,2025,7,Hajj,Textiles,Low,Global Garments Exporters,94,Jeddah Textile Imports,93,282173,26483,1,No,0
SHP00109,2024-08-05,2024,8,Regular,Consumer Goods,Low,Global Retail Exporters,76,Jeddah Consumer Imports,60,392182,3278,4,No,0
SHP00110,2022-04-05,2022,4,Eid,Chemicals,High,BASF Chemicals,50,Jeddah Industrial Chemicals,74,433882,10197,4,No,0
SHP00111,2024-05-21,2024,5,Regular,Machinery,Medium,Industrial Machinery Ltd,37,Jeddah Machinery Traders,49,241773,13049,8,No,1
SHP00112,2025-05-18,2025,5,Regular,Medical Equipment,High,MedTech Equipment Ltd,42,Saudi Medical Equipment,51,147400,24224,7,No,1
SHP00113,2024-06-06,2024,6,Hajj,Automotive Parts,Medium,Global Auto Parts,78,Jeddah Vehicle Parts,89,367407,176,1,No,0
SHP00114,2025-08-12,2025,8,Regular,Medical Equipment,High,MedTech Equipment Ltd,42,Riyadh Medical Distribution,57,135869,15164,6,No,1
SHP00115,2024-09-09,2024,9,Regular,Medical Equipment,High,Global Medical Devices,51,Riyadh Medical Distribution,57,495592,1904,7,No,1
SHP00116,2022-07-21,2022,7,Hajj,Textiles,Low,Cotton Weave Industries,80,Jeddah Textile Imports,93,302368,4262,1,No,0
SHP00117,2023-01-21,2023,1,Regular,Food Products,Low,Fresh Foods Exporters,99,Saudi Food Imports,82,127161,8716,2,Yes,0
SHP00118,2024-02-02,2024,2,Regular,Chemicals,High,BASF Chemicals,50,Riyadh Chemical Distribution,67,247965,13001,6,No,1
SHP00119,2022-03-04,2022,3,Ramadan,Machinery,Medium,Global Machinery Solutions,31,Riyadh Equipment Group,72,20097,10445,4,No,0
SHP00120,2022-12-08,2022,12,Year_End_Peak,Consumer Goods,Low,Premium Consumer Goods,69,Riyadh Retail Distribution,60,152878,10034,6,No,0
SHP00121,2022-02-01,2022,2,Regular,Electronics,Medium,Tech Devices Ltd,66,Riyadh Digital Traders,83,218516,9742,1,No,0
SHP00122,2024-10-06,2024,10,Regular,Pharmaceuticals,High,Cipla Pharma Exports,65,Riyadh Healthcare Imports,42,138717,21517,9,No,1
SHP00123,2022-02-24,2022,2,Regular,Food Products,Low,Fresh Foods Exporters,99,Riyadh Food Distribution,88,311914,13137,2,Yes,0
SHP00124,2025-04-16,2025,4,Eid,Food Products,Low,Fresh Foods Exporters,99,Jeddah Grocery Group,83,475460,11321,2,No,0
SHP00125,2024-12-13,2024,12,Year_End_Peak,Medical Equipment,High,Global Medical Devices,51,Jeddah Healthcare Supplies,77,479446,3350,3,No,0
SHP00126,2025-01-06,2025,1,Regular,Consumer Goods,Low,Premium Consumer Goods,69,Riyadh Retail Distribution,60,376597,18972,5,No,0
SHP00127,2024-04-02,2024,4,Eid,Pharmaceuticals,High,Cipla Pharma Exports,65,Jeddah Pharma Distribution,53,269294,4475,8,No,1
SHP00128,2025-08-01,2025,8,Regular,Pharmaceuticals,High,Cipla Pharma Exports,65,Jeddah Pharma Distribution,53,402921,10162,7,No,1
SHP00129,2025-02-16,2025,2,Regular,Textiles,Low,ABC Textile Mills,94,Jeddah Textile Imports,93,15596,854,1,No,0
SHP00130,2024-05-03,2024,5,Regular,Consumer Goods,Low,Global Retail Exporters,76,Jeddah Consumer Imports,60,439864,27387,6,No,0
SHP00131,2025-02-12,2025,2,Regular,Electronics,Medium,Samsung Electronics Export,71,Jeddah Tech Distribution,77,3573,12858,3,No,0
SHP00132,2022-01-04,2022,1,Regular,Agricultural Products,Low,Green Farm Exports,83,Saudi Agriculture Imports,85,239009,26702,1,No,0
SHP00133,2022-02-11,2022,2,Regular,Textiles,Low,Cotton Weave Industries,80,Riyadh Garment Trading,87,189456,26707,0,No,0
SHP00134,2022-12-08,2022,12,Year_End_Peak,Automotive Parts,Medium,Auto Components Ltd,80,Riyadh Auto Traders,77,52226,8042,4,No,0
SHP00135,2024-03-31,2024,3,Ramadan,Food Products,Low,Global Food Traders,84,Riyadh Food Distribution,88,225137,26334,2,Yes,0
SHP00136,2025-10-18,2025,10,Regular,Electronics,Medium,Tech Devices Ltd,66,Jeddah Tech Distribution,77,151322,21222,2,No,0
SHP00137,2023-11-07,2023,11,Year_End_Peak,Electronics,Medium,Tech Devices Ltd,66,Riyadh Digital Traders,83,418978,11096,2,No,0
SHP00138,2024-01-28,2024,1,Regular,Machinery,Medium,Global Machinery Solutions,31,Riyadh Equipment Group,72,121900,23913,1,No,0
SHP00139,2025-06-21,2025,6,Hajj,Electronics,Medium,Tech Devices Ltd,66,Jeddah Tech Distribution,77,122789,24108,2,No,0
SHP00140,2025-05-25,2025,5,Regular,Consumer Goods,Low,Global Retail Exporters,76,Riyadh Retail Distribution,60,56337,12362,5,Yes,0
SHP00141,2022-04-12,2022,4,Eid,Pharmaceuticals,High,Sun Pharma Logistics,42,Saudi Medical Supplies,77,286195,18756,3,No,1
SHP00142,2022-01-12,2022,1,Regular,Consumer Goods,Low,Consumer Products Ltd,74,Jeddah Consumer Imports,60,394554,5945,5,No,0
SHP00143,2025-07-15,2025,7,Hajj,Agricultural Products,Low,Harvest Exporters,84,Jeddah Agri Traders,95,353744,24478,0,No,0
SHP00144,2024-09-07,2024,9,Regular,Machinery,Medium,Global Machinery Solutions,31,Riyadh Equipment Group,72,357601,16824,4,No,0
SHP00145,2023-12-28,2023,12,Year_End_Peak,Pharmaceuticals,High,Cipla Pharma Exports,65,Saudi Medical Supplies,77,299206,21519,4,No,0
SHP00146,2025-03-28,2025,3,Ramadan,Consumer Goods,Low,Global Retail Exporters,76,Jeddah Consumer Imports,60,122826,2717,2,No,0
SHP00147,2022-12-30,2022,12,Year_End_Peak,Food Products,Low,Premium Foods Ltd,94,Saudi Food Imports,82,451062,28585,1,No,0
SHP00148,2023-05-08,2023,5,Regular,Agricultural Products,Low,Harvest Exporters,84,Jeddah Agri Traders,95,338003,15279,1,Yes,0
SHP00149,2025-07-21,2025,7,Hajj,Chemicals,High,BASF Chemicals,50,Riyadh Chemical Distribution,67,359266,7256,6,No,1
SHP00150,2023-11-28,2023,11,Year_End_Peak,Consumer Goods,Low,Premium Consumer Goods,69,Jeddah Consumer Imports,60,346835,25888,6,No,0
SHP00151,2023-01-24,2023,1,Regular,Electronics,Medium,Global Electronics Trading,82,Jeddah Tech Distribution,77,33733,20194,4,No,0
SHP00152,2022-05-26,2022,5,Regular,Automotive Parts,Medium,Premium Auto Exports,81,Riyadh Auto Traders,77,434816,25057,1,No,0
SHP00153,2022-03-02,2022,3,Ramadan,Automotive Parts,Medium,Auto Components Ltd,80,Saudi Auto Imports,72,239506,4855,1,No,0
SHP00154,2025-03-22,2025,3,Ramadan,Food Products,Low,Fresh Foods Exporters,99,Saudi Food Imports,82,343579,29493,1,No,0
SHP00155,2025-10-21,2025,10,Regular,Agricultural Products,Low,Green Farm Exports,83,Riyadh Farm Supplies,81,303186,28947,0,No,0
SHP00156,2022-02-23,2022,2,Regular,Food Products,Low,Global Food Traders,84,Riyadh Food Distribution,88,309744,11412,1,No,0
SHP00157,2025-03-14,2025,3,Ramadan,Consumer Goods,Low,Premium Consumer Goods,69,Saudi Retail Group,68,418794,28881,2,No,0
SHP00158,2025-10-12,2025,10,Regular,Pharmaceuticals,High,Pfizer Manufacturing,67,Riyadh Healthcare Imports,42,149746,18074,13,No,1
SHP00159,2023-06-05,2023,6,Hajj,Consumer Goods,Low,Consumer Products Ltd,74,Jeddah Consumer Imports,60,305664,26044,4,No,0
SHP00160,2023-03-30,2023,3,Ramadan,Automotive Parts,Medium,Auto Components Ltd,80,Saudi Auto Imports,72,389411,9953,2,Yes,0
SHP00161,2022-11-14,2022,11,Year_End_Peak,Chemicals,High,Industrial Chemicals Ltd,40,Saudi Chemical Imports,54,413345,1641,5,No,1
SHP00162,2025-07-09,2025,7,Hajj,Consumer Goods,Low,Consumer Products Ltd,74,Saudi Retail Group,68,270458,18817,3,No,0
SHP00163,2025-09-30,2025,9,Regular,Automotive Parts,Medium,Premium Auto Exports,81,Jeddah Vehicle Parts,89,374929,29077,2,No,0
SHP00164,2024-01-31,2024,1,Regular,Chemicals,High,Global Chemical Exports,58,Saudi Chemical Imports,54,186374,14920,4,No,1
SHP00165,2022-03-23,2022,3,Ramadan,Textiles,Low,Cotton Weave Industries,80,Jeddah Textile Imports,93,127209,16127,0,No,0
SHP00166,2025-02-10,2025,2,Regular,Medical Equipment,High,Global Medical Devices,51,Saudi Medical Equipment,51,429048,29081,7,No,1
SHP00167,2023-04-12,2023,4,Eid,Food Products,Low,Global Food Traders,84,Saudi Food Imports,82,30257,21786,0,No,0
SHP00168,2022-10-05,2022,10,Regular,Textiles,Low,Global Garments Exporters,94,Riyadh Garment Trading,87,204667,18321,0,No,0
SHP00169,2024-06-04,2024,6,Hajj,Electronics,Medium,Samsung Electronics Export,71,Saudi Electronics Imports,80,254973,21003,1,No,0
SHP00170,2024-02-02,2024,2,Regular,Chemicals,High,BASF Chemicals,50,Riyadh Chemical Distribution,67,153499,2478,3,No,0
SHP00171,2024-08-04,2024,8,Regular,Agricultural Products,Low,Green Farm Exports,83,Riyadh Farm Supplies,81,228286,11851,1,No,0
SHP00172,2025-07-18,2025,7,Hajj,Food Products,Low,Global Food Traders,84,Saudi Food Imports,82,495364,10446,2,No,0
SHP00173,2024-04-28,2024,4,Eid,Consumer Goods,Low,Premium Consumer Goods,69,Riyadh Retail Distribution,60,361027,1038,4,No,0
SHP00174,2025-07-04,2025,7,Hajj,Agricultural Products,Low,Green Farm Exports,83,Riyadh Farm Supplies,81,242531,17367,1,No,0
SHP00175,2025-07-18,2025,7,Hajj,Consumer Goods,Low,Premium Consumer Goods,69,Riyadh Retail Distribution,60,284707,6623,2,No,0
SHP00176,2022-07-18,2022,7,Hajj,Chemicals,High,Global Chemical Exports,58,Jeddah Industrial Chemicals,74,193860,17393,1,No,0
SHP00177,2025-03-22,2025,3,Ramadan,Food Products,Low,Fresh Foods Exporters,99,Saudi Food Imports,82,274680,28591,1,No,0
SHP00178,2024-10-10,2024,10,Regular,Automotive Parts,Medium,Auto Components Ltd,80,Riyadh Auto Traders,77,312412,2483,3,No,0
SHP00179,2025-09-05,2025,9,Regular,Pharmaceuticals,High,Sun Pharma Logistics,42,Saudi Medical Supplies,77,346453,28192,3,No,0
SHP00180,2025-12-19,2025,12,Year_End_Peak,Consumer Goods,Low,Premium Consumer Goods,69,Saudi Retail Group,68,182002,263,3,No,0
SHP00181,2023-08-15,2023,8,Regular,Machinery,Medium,Industrial Machinery Ltd,37,Saudi Industrial Imports,72,489533,16069,3,No,0
SHP00182,2024-03-11,2024,3,Ramadan,Medical Equipment,High,MedTech Equipment Ltd,42,Riyadh Medical Distribution,57,177076,18383,8,No,1
SHP00183,2022-05-02,2022,5,Regular,Pharmaceuticals,High,Pfizer Manufacturing,67,Jeddah Pharma Distribution,53,128118,3091,7,No,1
SHP00184,2022-01-09,2022,1,Regular,Machinery,Medium,Industrial Machinery Ltd,37,Saudi Industrial Imports,72,118832,26896,4,No,0
SHP00185,2025-01-12,2025,1,Regular,Food Products,Low,Global Food Traders,84,Riyadh Food Distribution,88,230834,13445,2,No,0
SHP00186,2023-05-30,2023,5,Regular,Medical Equipment,High,Global Medical Devices,51,Jeddah Healthcare Supplies,77,254627,29595,4,No,0
SHP00187,2022-05-02,2022,5,Regular,Chemicals,High,Industrial Chemicals Ltd,40,Jeddah Industrial Chemicals,74,152094,25375,3,No,0
SHP00188,2024-07-02,2024,7,Hajj,Chemicals,High,Industrial Chemicals Ltd,40,Saudi Chemical Imports,54,263805,4694,7,No,1
